keyword,normalized_keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_page,gsc_country,status,notes
ai digital marketing platform,ai digital marketing platform,commercial,product,https://www.strique.io/product,30,LOW 9,medium,keyword_planner,,,,,,,new,GKP volume 30; competition LOW 9
automated content creation tools,automated content creation tools,commercial,product,https://www.strique.io/product,30,HIGH 74,medium,keyword_planner,,,,,,,new,GKP volume 30; competition HIGH 74
automation in seo,automation in seo,commercial,product,https://www.strique.io/product,30,LOW 9,medium,keyword_planner,,,,,,,new,GKP volume 30; competition LOW 9
content creation using ai,content creation using ai,commercial,product,https://www.strique.io/product,30,MEDIUM 33,medium,keyword_planner,,,,,,,new,GKP volume 30; competition MEDIUM 33
ecommerce automation platform,ecommerce automation platform,commercial,solutions,https://www.strique.io/solutions/ecommerce,30,LOW,medium,keyword_planner,,,,,,,new,GKP volume 30; competition LOW
email automation for ecommerce,email automation for ecommerce,commercial,solutions,https://www.strique.io/solutions/ecommerce,30,LOW 8,medium,keyword_planner,,,,,,,new,GKP volume 30; competition LOW 8
free ai tools for digital marketing,free ai tools for digital marketing,commercial,product,https://www.strique.io/product,30,LOW 7,medium,keyword_planner,,,,,,,new,GKP volume 30; competition LOW 7
use ai to create content,use ai to create content,commercial,product,https://www.strique.io/product,30,MEDIUM 44,medium,keyword_planner,,,,,,,new,GKP volume 30; competition MEDIUM 44
ad create ai,ad create ai,commercial,product,https://www.strique.io/product,20,MEDIUM 49,medium,keyword_planner,,,,,,,new,GKP volume 20; competition MEDIUM 49
ai and automation in marketing,ai and automation in marketing,commercial,product,https://www.strique.io/product,20,MEDIUM 62,medium,keyword_planner,,,,,,,new,GKP volume 20; competition MEDIUM 62
ai based content creation,ai based content creation,commercial,product,https://www.strique.io/product,20,LOW 16,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW 16
ai based content generation,ai based content generation,commercial,product,https://www.strique.io/product,20,LOW,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW
ai seo text generator,ai seo text generator,commercial,product,https://www.strique.io/product,20,LOW 10,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW 10
ai software for marketing,ai software for marketing,commercial,product,https://www.strique.io/product,20,LOW 31,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW 31
ai to create content,ai to create content,commercial,product,https://www.strique.io/product,20,LOW,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW
automated content creation software,automated content creation software,commercial,product,https://www.strique.io/product,20,LOW,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW
automated content generation software,automated content generation software,commercial,product,https://www.strique.io/product,20,LOW,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW
automated seo analysis,automated seo analysis,commercial,product,https://www.strique.io/product,20,LOW 3,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW 3
best seo automation,best seo automation,commercial,comparison,https://www.strique.io/vs,20,LOW 22,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW 22
content create ai,content create ai,commercial,product,https://www.strique.io/product,20,MEDIUM 42,medium,keyword_planner,,,,,,,new,GKP volume 20; competition MEDIUM 42
content creator ai free,content creator ai free,commercial,product,https://www.strique.io/product,20,HIGH 86,medium,keyword_planner,,,,,,,new,GKP volume 20; competition HIGH 86
create content using ai,create content using ai,commercial,product,https://www.strique.io/product,20,LOW 10,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW 10
free ai content creation,free ai content creation,commercial,product,https://www.strique.io/product,20,LOW 27,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW 27
machine learning in marketing analytics,machine learning in marketing analytics,commercial,product,https://www.strique.io/product,20,LOW,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW
marketing analytics ai,marketing analytics ai,commercial,product,https://www.strique.io/product,20,HIGH 69,medium,keyword_planner,,,,,,,new,GKP volume 20; competition HIGH 69
marketing analytics machine learning,marketing analytics machine learning,commercial,product,https://www.strique.io/product,20,LOW,medium,keyword_planner,,,,,,,new,GKP volume 20; competition LOW
automate your marketing for ecommerce,automate your marketing for ecommerce,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,LOW,medium,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
automated emails for ecommerce,automated emails for ecommerce,commercial,solutions,https://www.strique.io/solutions/ecommerce,10,LOW,medium,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
best ai tools in marketing,best ai tools in marketing,commercial,comparison,https://www.strique.io/vs,10,LOW 7,medium,keyword_planner,,,,,,,new,GKP volume 10; competition LOW 7
best content generation tool,best content generation tool,commercial,comparison,https://www.strique.io/vs,10,,medium,keyword_planner,,,,,,,new,GKP volume 10
best ecommerce automation tools,best ecommerce automation tools,commercial,comparison,https://www.strique.io/vs,10,LOW,medium,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
best ecommerce email automation,best ecommerce email automation,commercial,comparison,https://www.strique.io/vs,10,LOW,medium,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
best free ai writing software,best free ai writing software,commercial,comparison,https://www.strique.io/vs,10,MEDIUM 62,medium,keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 62
top ai content generation tools,top ai content generation tools,commercial,comparison,https://www.strique.io/vs,10,MEDIUM 46,medium,keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 46
ad copy generator free,ad copy generator free,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
ai based marketing strategy startups,ai based marketing strategy startups,commercial,product,https://www.strique.io/product,10,,low,keyword_planner,,,,,,,new,GKP volume 10
ai for creating content,ai for creating content,commercial,product,https://www.strique.io/product,10,MEDIUM 59,low,keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 59
ai for email automation,ai for email automation,commercial,product,https://www.strique.io/product,10,MEDIUM 43,low,keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 43
ai that creates content,ai that creates content,commercial,product,https://www.strique.io/product,10,LOW 31,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW 31
ai tool for content creation free,ai tool for content creation free,commercial,product,https://www.strique.io/product,10,MEDIUM 51,low,keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 51
artificial intelligence apps software marketing,artificial intelligence apps software marketing,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
artificial intelligence platform market,artificial intelligence platform market,informational,blog,https://www.strique.io/blog,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
automated content marketing software,automated content marketing software,commercial,product,https://www.strique.io/product,10,,low,keyword_planner,,,,,,,new,GKP volume 10
content creation ai free,content creation ai free,commercial,product,https://www.strique.io/product,10,HIGH 86,low,keyword_planner,,,,,,,new,GKP volume 10; competition HIGH 86
content generation using ai,content generation using ai,commercial,product,https://www.strique.io/product,10,LOW 7,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW 7
content generator tools free,content generator tools free,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
digital intelligence platform market,digital intelligence platform market,informational,blog,https://www.strique.io/blog,10,,low,keyword_planner,,,,,,,new,GKP volume 10
examples of ai in marketing automation,examples of ai in marketing automation,informational,blog,https://www.strique.io/blog/what-is-an-ai-marketing-agent,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
free ai writer software,free ai writer software,commercial,product,https://www.strique.io/product,10,,low,keyword_planner,,,,,,,new,GKP volume 10
free seo content generator,free seo content generator,commercial,product,https://www.strique.io/product,10,MEDIUM 43,low,keyword_planner,,,,,,,new,GKP volume 10; competition MEDIUM 43
machine learning content creation,machine learning content creation,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
marketing content generator,marketing content generator,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
sales content automation,sales content automation,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
search engine automation,search engine automation,commercial,product,https://www.strique.io/product,10,LOW 20,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW 20
seo content generator free,seo content generator free,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
seo text generator free,seo text generator free,commercial,product,https://www.strique.io/product,10,LOW,low,keyword_planner,,,,,,,new,GKP volume 10; competition LOW
