keyword,priority,intent,page_type,target_url,gsc_status,avg_position,rank_bucket,clicks,impressions,ctr,ranking_page,country,volume,difficulty,source,notes
metro women footwear,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 99
platform shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 90,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 90
red ladies shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
shoes slippers,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 95
trendy shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,3600,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 98
party wear heels,high,informational,blog,https://inc5shop.com/blog,ranked,4.72,positions_4_10,98,15541,0.01,https://inc5shop.com/collections/womens-heels,India,2900,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100; GSC 98 clicks and 15541 impressions; observed page https://inc5shop.com/collections/womens-heels
best brand shoes for women,high,commercial,comparison,https://inc5shop.com/vs,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
black heels sandals,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 98
block heel shoes for ladies,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
comfortable formal shoes for ladies,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
fancy shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 98
fashion shoes for men,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 95
flat heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 95
flat slippers,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 98
heel stores near me,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,MEDIUM 49,Google Ads Keyword Planner via Composio,GKP volume 2900; competition MEDIUM 49
ladies leather shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
party shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 97
shoes online for men,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
top brand shoes for men,high,commercial,comparison,https://inc5shop.com/vs,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
trending shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
womens block heel shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
comfortable heels,high,informational,blog,https://inc5shop.com/blog,ranked,8.5,positions_4_10,60,12637,0,https://inc5shop.com/collections/womens-heels,India,2400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100; GSC 60 clicks and 12637 impressions; observed page https://inc5shop.com/collections/womens-heels
beige shoes women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
black and red heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 93,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 93
branded formal shoes for men,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
comfortable footwear for ladies,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 97
comfortable heeled shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
fashion shoes for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 96
female shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 98
formal heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
heels black,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 97
high heel shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 92,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 92
hill shoes,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 96
ladies heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 96
platform high heels for women,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 98
sandals for women black,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
shoes heels,high,informational,blog,https://inc5shop.com/blog,not_checked_blocked,,not_ranked_in_gsc_sample,,,,,,2400,HIGH 94,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 94
