keyword,normalized_keyword,intent,page_type,target_url,volume,difficulty,priority,sources,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_page,gsc_country,status,notes
heels black,heels black,informational,blog,https://inc5shop.com/blog,2400,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 97
high heel shoes,high heel shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 92,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 92
hill shoes,hill shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 96
ladies heels,ladies heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 96
platform high heels for women,platform high heels for women,informational,blog,https://inc5shop.com/blog,2400,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 98
sandals for women black,sandals for women black,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 100
shoes heels,shoes heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 94,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 94
small heels for women,small heels for women,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 2400; competition HIGH 100
women's shoes near me,women's shoes near me,informational,blog,https://inc5shop.com/blog,2400,MEDIUM 45,high,keyword_planner,,,,,,,new,GKP volume 2400; competition MEDIUM 45
best footwear for women,best footwear for women,commercial,comparison,https://inc5shop.com/vs,1900,HIGH 100,high,gsc; keyword_planner,105,13720,0.01,9.6,https://inc5shop.com/collections/women-footwear,India,new,GKP volume 1900; competition HIGH 100; GSC 105 clicks and 13720 impressions; observed page https://inc5shop.com/collections/women-footwear
bridal sandals heels,bridal sandals heels,informational,blog,https://inc5shop.com/blog,1900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 99
formal shoes for men near me,formal shoes for men near me,informational,blog,https://inc5shop.com/blog,1900,MEDIUM 53,high,keyword_planner,,,,,,,new,GKP volume 1900; competition MEDIUM 53
ginger footwear,ginger footwear,informational,blog,https://inc5shop.com/blog,1900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 100
ladies shoes sale,ladies shoes sale,informational,blog,https://inc5shop.com/blog,1900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 100
ladies summer shoes,ladies summer shoes,informational,blog,https://inc5shop.com/blog,1900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 99
silver shoes,silver shoes,informational,blog,https://inc5shop.com/blog,1900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 99
soft shoes for ladies,soft shoes for ladies,informational,blog,https://inc5shop.com/blog,1900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 100
soft shoes for women,soft shoes for women,informational,blog,https://inc5shop.com/blog,1900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 100
square toe mary jane shoes,square toe mary jane shoes,informational,blog,https://inc5shop.com/blog,1900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 100
summer shoes for women,summer shoes for women,informational,blog,https://inc5shop.com/blog,1900,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 99
trending heels,trending heels,informational,blog,https://inc5shop.com/blog,1900,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 98
women shoes sale,women shoes sale,informational,blog,https://inc5shop.com/blog,1900,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1900; competition HIGH 100
inch 5 footwear,inch 5 footwear,informational,blog,https://inc5shop.com/blog,1600,HIGH 100,high,gsc; keyword_planner,1474,63322,0.05,1.2,https://inc5shop.com/,India,new,GKP volume 1600; competition HIGH 100; GSC 1474 clicks and 63322 impressions; observed page https://inc5shop.com/
open toe flats,open toe flats,informational,blog,https://inc5shop.com/blog,1600,HIGH 96,high,gsc; keyword_planner,80,20160,0,5.89,https://inc5shop.com/collections/womens-flats,India,new,GKP volume 1600; competition HIGH 96; GSC 80 clicks and 20160 impressions; observed page https://inc5shop.com/collections/womens-flats
best heels for women,best heels for women,commercial,comparison,https://inc5shop.com/vs,1600,HIGH 100,high,gsc; keyword_planner,136,16029,0.01,6.82,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 1600; competition HIGH 100; GSC 136 clicks and 16029 impressions; observed page https://inc5shop.com/collections/womens-heels
casual heels for women,casual heels for women,informational,blog,https://inc5shop.com/blog,1600,HIGH 97,high,gsc; keyword_planner,56,12966,0,6.01,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 1600; competition HIGH 97; GSC 56 clicks and 12966 impressions; observed page https://inc5shop.com/collections/womens-heels
transparent sandals,transparent sandals,informational,blog,https://inc5shop.com/blog,1600,HIGH 100,high,gsc; keyword_planner,70,11630,0.01,4.72,https://inc5shop.com/collections/transparent-heel-for-women,India,new,GKP volume 1600; competition HIGH 100; GSC 70 clicks and 11630 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
best footwear,best footwear,commercial,comparison,https://inc5shop.com/vs,1600,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 98
black high heels for women,black high heels for women,informational,blog,https://inc5shop.com/blog,1600,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 99
designer shoes,designer shoes,informational,blog,https://inc5shop.com/blog,1600,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 96
ladies shoes online,ladies shoes online,informational,blog,https://inc5shop.com/blog,1600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 100
latest shoes for women,latest shoes for women,informational,blog,https://inc5shop.com/blog,1600,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 99
men shoes with heels,men shoes with heels,informational,blog,https://inc5shop.com/blog,1600,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 98
online shoes for women,online shoes for women,informational,blog,https://inc5shop.com/blog,1600,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 100
sandals for wedding,sandals for wedding,informational,blog,https://inc5shop.com/blog,1600,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 99
shoes for summer,shoes for summer,informational,blog,https://inc5shop.com/blog,1600,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 98
trendy shoes,trendy shoes,informational,blog,https://inc5shop.com/blog,1600,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 1600; competition HIGH 97
blue shoes women,blue shoes women,informational,blog,https://inc5shop.com/blog,1300,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1300; competition HIGH 100
cai heels,cai heels,informational,blog,https://inc5shop.com/blog,1300,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1300; competition HIGH 100
cheap footwear,cheap footwear,informational,blog,https://inc5shop.com/blog,1300,LOW 27,high,keyword_planner,,,,,,,new,GKP volume 1300; competition LOW 27
embellished heels,embellished heels,informational,blog,https://inc5shop.com/blog,1300,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1300; competition HIGH 100
flat bridal sandals,flat bridal sandals,informational,blog,https://inc5shop.com/blog,1300,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 1300; competition HIGH 98
golden shoes for women,golden shoes for women,informational,blog,https://inc5shop.com/blog,1300,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1300; competition HIGH 100
green shoes women,green shoes women,informational,blog,https://inc5shop.com/blog,1300,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1300; competition HIGH 100
high shoes for women,high shoes for women,informational,blog,https://inc5shop.com/blog,1300,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 1300; competition HIGH 97
nude ladies shoes,nude ladies shoes,informational,blog,https://inc5shop.com/blog,1300,MEDIUM 55,high,keyword_planner,,,,,,,new,GKP volume 1300; competition MEDIUM 55
nude shoes for women,nude shoes for women,informational,blog,https://inc5shop.com/blog,1300,MEDIUM 55,high,keyword_planner,,,,,,,new,GKP volume 1300; competition MEDIUM 55
inc 5 wedges,inc 5 wedges,informational,blog,https://inc5shop.com/blog,1000,HIGH 100,high,gsc; keyword_planner,366,17691,0.03,2.55,https://inc5shop.com/collections/womens-wedges,India,new,GKP volume 1000; competition HIGH 100; GSC 366 clicks and 17691 impressions; observed page https://inc5shop.com/collections/womens-wedges
black leather shoes for women,black leather shoes for women,informational,blog,https://inc5shop.com/blog,1000,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 100
casual black shoes for women,casual black shoes for women,informational,blog,https://inc5shop.com/blog,1000,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 97
comfort footwear,comfort footwear,informational,blog,https://inc5shop.com/blog,1000,HIGH 94,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 94
cute shoes,cute shoes,informational,blog,https://inc5shop.com/blog,1000,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 95
ethnic shoes,ethnic shoes,informational,blog,https://inc5shop.com/blog,1000,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 96
fancy heels,fancy heels,informational,blog,https://inc5shop.com/blog,1000,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 98
ladies grey shoes,ladies grey shoes,informational,blog,https://inc5shop.com/blog,1000,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 99
men shoe store near me,men shoe store near me,informational,blog,https://inc5shop.com/blog,1000,MEDIUM 40,high,keyword_planner,,,,,,,new,GKP volume 1000; competition MEDIUM 40
older ladies shoes,older ladies shoes,informational,blog,https://inc5shop.com/blog,1000,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 100
shoes for office wear,shoes for office wear,informational,blog,https://inc5shop.com/blog,1000,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 98
silver shoes women,silver shoes women,informational,blog,https://inc5shop.com/blog,1000,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 100
transparent high heels,transparent high heels,informational,blog,https://inc5shop.com/blog,1000,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 1000; competition HIGH 100
4 inch heel,4 inch heel,informational,blog,https://inc5shop.com/blog,880,HIGH 93,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 93
block heels pumps,block heels pumps,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
bridal heels for wedding,bridal heels for wedding,informational,blog,https://inc5shop.com/blog,880,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 99
buy shoes for men,buy shoes for men,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
classy shoes,classy shoes,informational,blog,https://inc5shop.com/blog,880,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 96
designer shoes for women,designer shoes for women,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
female designer shoes,female designer shoes,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
golden block heels,golden block heels,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
ladies designer shoes,ladies designer shoes,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
ladies party shoes,ladies party shoes,informational,blog,https://inc5shop.com/blog,880,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 98
most comfortable ladies shoes,most comfortable ladies shoes,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
most comfortable shoes for women,most comfortable shoes for women,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
new shoes for women,new shoes for women,informational,blog,https://inc5shop.com/blog,880,HIGH 95,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 95
party shoes for women,party shoes for women,informational,blog,https://inc5shop.com/blog,880,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 98
shoes on sale online,shoes on sale online,informational,blog,https://inc5shop.com/blog,880,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 100
softy shoes,softy shoes,informational,blog,https://inc5shop.com/blog,880,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 880; competition HIGH 96
inc 5 flats,inc 5 flats,informational,blog,https://inc5shop.com/blog,720,HIGH 99,high,gsc; keyword_planner,404,20110,0.04,1.22,https://inc5shop.com/collections/womens-flats,India,new,GKP volume 720; competition HIGH 99; GSC 404 clicks and 20110 impressions; observed page https://inc5shop.com/collections/womens-flats
transparent block heels,transparent block heels,informational,blog,https://inc5shop.com/blog,720,HIGH 100,high,gsc; keyword_planner,59,8375,0.01,4.06,https://inc5shop.com/collections/transparent-heel-for-women,India,new,GKP volume 720; competition HIGH 100; GSC 59 clicks and 8375 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
beautiful heels,beautiful heels,informational,blog,https://inc5shop.com/blog,720,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 98
black formal heels,black formal heels,informational,blog,https://inc5shop.com/blog,720,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 100
block sandals for women,block sandals for women,informational,blog,https://inc5shop.com/blog,720,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 100
golden sandals heels,golden sandals heels,informational,blog,https://inc5shop.com/blog,720,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 96
party heels,party heels,informational,blog,https://inc5shop.com/blog,720,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 97
pointed shoes,pointed shoes,informational,blog,https://inc5shop.com/blog,720,HIGH 94,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 94
stylish heels,stylish heels,informational,blog,https://inc5shop.com/blog,720,HIGH 98,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 98
trendy heels,trendy heels,informational,blog,https://inc5shop.com/blog,720,HIGH 99,high,keyword_planner,,,,,,,new,GKP volume 720; competition HIGH 99
block heel shoes,block heel shoes,informational,blog,https://inc5shop.com/blog,590,HIGH 94,high,keyword_planner,,,,,,,new,GKP volume 590; competition HIGH 94
female dress shoes,female dress shoes,informational,blog,https://inc5shop.com/blog,590,HIGH 92,high,keyword_planner,,,,,,,new,GKP volume 590; competition HIGH 92
glitter shoes for women,glitter shoes for women,informational,blog,https://inc5shop.com/blog,590,HIGH 100,high,keyword_planner,,,,,,,new,GKP volume 590; competition HIGH 100
high heel slippers,high heel slippers,informational,blog,https://inc5shop.com/blog,590,HIGH 96,high,keyword_planner,,,,,,,new,GKP volume 590; competition HIGH 96
hot shoes,hot shoes,informational,blog,https://inc5shop.com/blog,590,LOW 12,high,keyword_planner,,,,,,,new,GKP volume 590; competition LOW 12
ladies dress shoes,ladies dress shoes,informational,blog,https://inc5shop.com/blog,590,HIGH 92,high,keyword_planner,,,,,,,new,GKP volume 590; competition HIGH 92
rocia heels,rocia heels,informational,blog,https://inc5shop.com/blog,590,HIGH 97,high,keyword_planner,,,,,,,new,GKP volume 590; competition HIGH 97
sandals footwear,sandals footwear,informational,blog,https://inc5shop.com/blog,590,HIGH 91,high,keyword_planner,,,,,,,new,GKP volume 590; competition HIGH 91
inc heels,inc heels,informational,blog,https://inc5shop.com/blog,140,HIGH 98,high,gsc; keyword_planner,82,1557,0.05,1.11,https://inc5shop.com/collections/womens-heels,India,new,GKP volume 140; competition HIGH 98; GSC 82 clicks and 1557 impressions; observed page https://inc5shop.com/collections/womens-heels
sandal for women,sandal for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,1316,303281,0,6.38,https://inc5shop.com/collections/womens-sandals,India,new,GSC 1316 clicks and 303281 impressions; observed page https://inc5shop.com/collections/womens-sandals
shoulder bags for women,shoulder bags for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,96,223045,0,6.41,https://inc5shop.com/products/women-black-solid-shoulder-bag-lyng29-8606-black,India,new,GSC 96 clicks and 223045 impressions; observed page https://inc5shop.com/products/women-black-solid-shoulder-bag-lyng29-8606-black
women sandals,women sandals,informational,blog,https://inc5shop.com/blog,,,high,gsc,1516,194410,0.01,5.96,https://inc5shop.com/collections/womens-sandals,India,new,GSC 1516 clicks and 194410 impressions; observed page https://inc5shop.com/collections/womens-sandals
flat sandals for women,flat sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,684,189791,0,8.53,https://inc5shop.com/collections/womens-flats,India,new,GSC 684 clicks and 189791 impressions; observed page https://inc5shop.com/collections/womens-flats
ladies sandal,ladies sandal,informational,blog,https://inc5shop.com/blog,,,high,gsc,840,133846,0.01,7.39,https://inc5shop.com/collections/womens-sandals,India,new,GSC 840 clicks and 133846 impressions; observed page https://inc5shop.com/collections/womens-sandals
women footwear,women footwear,informational,blog,https://inc5shop.com/blog,,,high,gsc,1061,131327,0.01,8.02,https://inc5shop.com/collections/women-footwear,India,new,GSC 1061 clicks and 131327 impressions; observed page https://inc5shop.com/collections/women-footwear
wedge heels for women,wedge heels for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,692,125472,0.01,6.37,https://inc5shop.com/collections/womens-wedges,India,new,GSC 692 clicks and 125472 impressions; observed page https://inc5shop.com/collections/womens-wedges
platform heels,platform heels,informational,blog,https://inc5shop.com/blog,,,high,gsc,728,122328,0.01,5,https://inc5shop.com/collections/platform-heels,India,new,GSC 728 clicks and 122328 impressions; observed page https://inc5shop.com/collections/platform-heels
leather sandals for men,leather sandals for men,informational,blog,https://inc5shop.com/blog,,,high,gsc,749,122035,0.01,7.11,https://inc5shop.com/collections/mens-sandals,India,new,GSC 749 clicks and 122035 impressions; observed page https://inc5shop.com/collections/mens-sandals
women heels,women heels,informational,blog,https://inc5shop.com/blog,,,high,gsc,741,118114,0.01,6.05,https://inc5shop.com/collections/womens-heels,India,new,GSC 741 clicks and 118114 impressions; observed page https://inc5shop.com/collections/womens-heels
heels sandals for women,heels sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,356,100202,0,6.56,https://inc5shop.com/collections/womens-heels,India,new,GSC 356 clicks and 100202 impressions; observed page https://inc5shop.com/collections/womens-heels
sandals for women daily wear,sandals for women daily wear,informational,blog,https://inc5shop.com/blog,,,high,gsc,415,81937,0.01,7.33,https://inc5shop.com/collections/womens-sandals,India,new,GSC 415 clicks and 81937 impressions; observed page https://inc5shop.com/collections/womens-sandals
women flats,women flats,informational,blog,https://inc5shop.com/blog,,,high,gsc,409,79192,0.01,6.74,https://inc5shop.com/collections/womens-flats,India,new,GSC 409 clicks and 79192 impressions; observed page https://inc5shop.com/collections/womens-flats
inc5 shoes,inc5 shoes,navigational,homepage,https://inc5shop.com,,,high,gsc,2320,78236,0.09,1.05,https://inc5shop.com/,India,new,GSC 2320 clicks and 78236 impressions; observed page https://inc5shop.com/
mens sandals,mens sandals,informational,blog,https://inc5shop.com/blog,,,high,gsc,166,68865,0,8.52,https://inc5shop.com/collections/mens-sandals,India,new,GSC 166 clicks and 68865 impressions; observed page https://inc5shop.com/collections/mens-sandals
wedges sandals for women,wedges sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,415,66454,0.01,5.65,https://inc5shop.com/collections/womens-wedges,India,new,GSC 415 clicks and 66454 impressions; observed page https://inc5shop.com/collections/womens-wedges
women boots,women boots,informational,blog,https://inc5shop.com/blog,,,high,gsc,414,65270,0.01,7.4,https://inc5shop.com/collections/womens-boots,India,new,GSC 414 clicks and 65270 impressions; observed page https://inc5shop.com/collections/womens-boots
wedge heels,wedge heels,informational,blog,https://inc5shop.com/blog,,,high,gsc,293,59840,0,6.06,https://inc5shop.com/collections/womens-wedges,India,new,GSC 293 clicks and 59840 impressions; observed page https://inc5shop.com/collections/womens-wedges
sandals for women party wear,sandals for women party wear,informational,blog,https://inc5shop.com/blog,,,high,gsc,352,58274,0.01,5.16,https://inc5shop.com/collections/womens-sandals,India,new,GSC 352 clicks and 58274 impressions; observed page https://inc5shop.com/collections/womens-sandals
heel for women,heel for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,126,57908,0,5.99,https://inc5shop.com/collections/womens-heels,India,new,GSC 126 clicks and 57908 impressions; observed page https://inc5shop.com/collections/womens-heels
men sandals,men sandals,informational,blog,https://inc5shop.com/blog,,,high,gsc,134,57803,0,8.26,https://inc5shop.com/collections/mens-sandals,India,new,GSC 134 clicks and 57803 impressions; observed page https://inc5shop.com/collections/mens-sandals
boots women,boots women,informational,blog,https://inc5shop.com/blog,,,high,gsc,319,56482,0.01,6.98,https://inc5shop.com/collections/womens-boots,India,new,GSC 319 clicks and 56482 impressions; observed page https://inc5shop.com/collections/womens-boots
wedge sandals for women,wedge sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,394,56180,0.01,6.09,https://inc5shop.com/collections/womens-wedges,India,new,GSC 394 clicks and 56180 impressions; observed page https://inc5shop.com/collections/womens-wedges
platform sandals for women,platform sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,321,55262,0.01,5.58,https://inc5shop.com/collections/platform-heels,India,new,GSC 321 clicks and 55262 impressions; observed page https://inc5shop.com/collections/platform-heels
sandal for men,sandal for men,informational,blog,https://inc5shop.com/blog,,,high,gsc,146,53831,0,7.68,https://inc5shop.com/collections/mens-sandals,India,new,GSC 146 clicks and 53831 impressions; observed page https://inc5shop.com/collections/mens-sandals
formal sandals for men,formal sandals for men,informational,blog,https://inc5shop.com/blog,,,high,gsc,257,53032,0,7.19,https://inc5shop.com/collections/mens-sandals,India,new,GSC 257 clicks and 53032 impressions; observed page https://inc5shop.com/collections/mens-sandals
inc.5 shoes,inc.5 shoes,informational,blog,https://inc5shop.com/blog,,,high,gsc,1270,51256,0.08,1.2,https://inc5shop.com/,India,new,GSC 1270 clicks and 51256 impressions; observed page https://inc5shop.com/
boot for women,boot for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,141,50059,0,8.23,https://inc5shop.com/collections/womens-boots,India,new,GSC 141 clicks and 50059 impressions; observed page https://inc5shop.com/collections/womens-boots
mules shoes,mules shoes,informational,blog,https://inc5shop.com/blog,,,high,gsc,174,49463,0,7.11,https://inc5shop.com/collections/womens-mules,India,new,GSC 174 clicks and 49463 impressions; observed page https://inc5shop.com/collections/womens-mules
flat footwear for women,flat footwear for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,271,48514,0.01,6.62,https://inc5shop.com/collections/womens-flats,India,new,GSC 271 clicks and 48514 impressions; observed page https://inc5shop.com/collections/womens-flats
flat chappal for women,flat chappal for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,225,45187,0,8.15,https://inc5shop.com/collections/womens-flats,India,new,GSC 225 clicks and 45187 impressions; observed page https://inc5shop.com/collections/womens-flats
flats sandals for women,flats sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,118,45151,0,8.22,https://inc5shop.com/collections/womens-flats,India,new,GSC 118 clicks and 45151 impressions; observed page https://inc5shop.com/collections/womens-flats
flat shoes for women,flat shoes for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,104,44363,0,7.12,https://inc5shop.com/collections/womens-flats,India,new,GSC 104 clicks and 44363 impressions; observed page https://inc5shop.com/collections/womens-flats
black sandals for women,black sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,104,44176,0,9.31,https://inc5shop.com/collections/womens-sandals,India,new,GSC 104 clicks and 44176 impressions; observed page https://inc5shop.com/collections/womens-sandals
inc 5 bags,inc 5 bags,informational,blog,https://inc5shop.com/blog,,,high,gsc,1223,42191,0.06,1.66,https://inc5shop.com/collections/all-bags,India,new,GSC 1223 clicks and 42191 impressions; observed page https://inc5shop.com/collections/all-bags
formal sandals for women,formal sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,236,42160,0.01,5.5,https://inc5shop.com/collections/womens-sandals,India,new,GSC 236 clicks and 42160 impressions; observed page https://inc5shop.com/collections/womens-sandals
beige heels for women,beige heels for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,152,41896,0,4.89,https://inc5shop.com/collections/beige,India,new,GSC 152 clicks and 41896 impressions; observed page https://inc5shop.com/collections/beige
wedges heels for women,wedges heels for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,297,41379,0.01,5.58,https://inc5shop.com/collections/womens-wedges,India,new,GSC 297 clicks and 41379 impressions; observed page https://inc5shop.com/collections/womens-wedges
flat for women,flat for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,106,41047,0,6.63,https://inc5shop.com/collections/womens-flats,India,new,GSC 106 clicks and 41047 impressions; observed page https://inc5shop.com/collections/womens-flats
heels women,heels women,informational,blog,https://inc5shop.com/blog,,,high,gsc,249,41029,0.01,5.91,https://inc5shop.com/collections/womens-heels,India,new,GSC 249 clicks and 41029 impressions; observed page https://inc5shop.com/collections/womens-heels
casual sandals for women,casual sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,237,40985,0.01,6.19,https://inc5shop.com/collections/womens-sandals,India,new,GSC 237 clicks and 40985 impressions; observed page https://inc5shop.com/collections/womens-sandals
women's boots,women's boots,informational,blog,https://inc5shop.com/blog,,,high,gsc,141,40435,0,7.09,https://inc5shop.com/collections/womens-boots,India,new,GSC 141 clicks and 40435 impressions; observed page https://inc5shop.com/collections/womens-boots
comfortable footwear for women,comfortable footwear for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,299,40199,0.01,7.7,https://inc5shop.com/collections/comfort-wear,India,new,GSC 299 clicks and 40199 impressions; observed page https://inc5shop.com/collections/comfort-wear
comfortable sandals for women,comfortable sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,350,39761,0.01,6.02,https://inc5shop.com/collections/womens-sandals,India,new,GSC 350 clicks and 39761 impressions; observed page https://inc5shop.com/collections/womens-sandals
best sandals for men,best sandals for men,commercial,comparison,https://inc5shop.com/vs,,,high,gsc,176,39680,0,9.78,https://inc5shop.com/collections/mens-sandals,India,new,GSC 176 clicks and 39680 impressions; observed page https://inc5shop.com/collections/mens-sandals
wedges for women daily wear,wedges for women daily wear,informational,blog,https://inc5shop.com/blog,,,high,gsc,286,38716,0.01,5.79,https://inc5shop.com/collections/womens-wedges,India,new,GSC 286 clicks and 38716 impressions; observed page https://inc5shop.com/collections/womens-wedges
sandals for women office wear,sandals for women office wear,informational,blog,https://inc5shop.com/blog,,,high,gsc,286,37480,0.01,6.13,https://inc5shop.com/collections/womens-sandals,India,new,GSC 286 clicks and 37480 impressions; observed page https://inc5shop.com/collections/womens-sandals
black flats for women,black flats for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,129,37474,0,8.79,https://inc5shop.com/collections/womens-flats,India,new,GSC 129 clicks and 37474 impressions; observed page https://inc5shop.com/collections/womens-flats
stylish sandals for women,stylish sandals for women,informational,blog,https://inc5shop.com/blog,,,high,gsc,209,35478,0.01,6.45,https://inc5shop.com/collections/womens-sandals,India,new,GSC 209 clicks and 35478 impressions; observed page https://inc5shop.com/collections/womens-sandals
