keyword,rank_status,avg_position,rank_bucket,clicks,impressions,ctr,ranking_page,country,priority,intent,page_type,target_url,volume,difficulty,source,notes
black block heel shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
black block heels for women,ranked_india,4.4,positions_4_10,0,15,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
block heels black,ranked_india,28.0,positions_21_50,0,1,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
brown shoes for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
catwalk footwear,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 97
low heel sandals for women,ranked_india,5.22,positions_4_10,1,855,0.0012,https://inc5shop.com/products/women-silver-party-wear-solid-square-toe-block-heel-sandals-102298-silver,India,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 95
metro heels,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 99
metro shoes for men,ranked_india,38.0,positions_21_50,0,1,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 99
metro women footwear,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 99
platform shoes,ranked_india,18.15,positions_11_20,0,89,0.0,https://inc5shop.com/collections/platform-heels,India,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 90,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 90
red ladies shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 100
shoes slippers,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 95
trendy shoes for women,ranked_india,2.0,top_3,0,1,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,3600,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 3600; competition HIGH 98
party wear heels,ranked_india,3.7,positions_4_10,6,624,0.0096,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100; GSC 98 clicks and 15541 impressions; observed page https://inc5shop.com/collections/womens-heels
best brand shoes for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,commercial,comparison,https://inc5shop.com/vs,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
black heels sandals,ranked_india,18.0,positions_11_20,0,1,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 98
block heel shoes for ladies,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
comfortable formal shoes for ladies,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
fancy shoes for women,ranked_india,7.0,positions_4_10,0,4,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 98
fashion shoes for men,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 95
flat heels,ranked_india,5.0,positions_4_10,0,1,0.0,https://inc5shop.com/collections/womens-mules,India,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 95,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 95
flat slippers,ranked_india,10.94,positions_11_20,0,259,0.0,https://inc5shop.com/collections/womens-flats,India,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 98
heel stores near me,ranked_india,11.43,positions_11_20,0,7,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,2900,MEDIUM 49,Google Ads Keyword Planner via Composio,GKP volume 2900; competition MEDIUM 49
ladies leather shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
party shoes,ranked_india,13.6,positions_11_20,0,5,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 97
shoes online for men,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
top brand shoes for men,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,commercial,comparison,https://inc5shop.com/vs,2900,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 100
trending shoes for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
womens block heel shoes,ranked_non_india,2.0,top_3,0,42,0.0,https://inc5shop.com/products/women-black-pointed-toe-block-heels-pumps-800490-black,United States,high,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,Google Ads Keyword Planner via Composio,GKP volume 2900; competition HIGH 99
comfortable heels,ranked_india,6.6,positions_4_10,8,539,0.0148,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,Google Search Console via Composio + Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100; GSC 60 clicks and 12637 impressions; observed page https://inc5shop.com/collections/womens-heels
beige shoes women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
black and red heels,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 93,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 93
branded formal shoes for men,ranked_india,13.5,positions_11_20,0,2,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
comfortable footwear for ladies,ranked_india,8.16,positions_4_10,5,583,0.0086,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 97
comfortable heeled shoes,ranked_india,6.0,positions_4_10,0,1,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
fashion shoes for women,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 96
female shoes,ranked_india,11.8,positions_11_20,0,75,0.0,https://inc5shop.com/collections/women-footwear,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 98
formal heels,ranked_india,12.23,positions_11_20,0,502,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
heels black,ranked_india,11.0,positions_11_20,0,5,0.0,https://inc5shop.com/,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 97,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 97
high heel shoes,ranked_india,4.0,positions_4_10,0,1,0.0,https://inc5shop.com/products/women-black-pointed-toe-block-heels-pumps-800490-black,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 92,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 92
hill shoes,not_seen_last_28_days,,not_seen_last_28_days,,,,,,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 96
ladies heels,ranked_india,10.93,positions_11_20,1,189,0.0053,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 96
platform high heels for women,ranked_india,5.61,positions_4_10,1,387,0.0026,https://inc5shop.com/collections/platform-heels,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 98,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 98
sandals for women black,ranked_india,3.96,positions_4_10,1,341,0.0029,https://inc5shop.com/products/women-black-party-block-sandalsblack-600630-black,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 100
shoes heels,ranked_india,10.13,positions_11_20,0,92,0.0,https://inc5shop.com/collections/womens-heels,India,high,informational,blog,https://inc5shop.com/blog,2400,HIGH 94,Google Ads Keyword Planner via Composio,GKP volume 2400; competition HIGH 94
